Event,Type
Volleyball Women's Volleyball,Team
"Wrestling Men's Welterweight, Greco-Roman",Team
"Wrestling Men's Middleweight, Greco-Roman",Team
"Athletics Men's 3,000 metres Steeplechase",Single
"Wrestling Men's Middleweight, Freestyle",Team
Swimming Women's 100 metres Backstroke,Single
Swimming Women's 200 metres Backstroke,Single
Swimming Women's 4 x 100 metres Medley Relay,Team
"Wrestling Men's Light-Heavyweight, Freestyle",Team
Modern Pentathlon Men's Team,Team
Boxing Men's Bantamweight,Single
Athletics Women's 200 metres,Single
Table Tennis Women's Singles,Single
Table Tennis Women's Doubles,Team
Shooting Men's Skeet,Single
Swimming Women's 50 metres Freestyle,Single
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Single
Athletics Men's Triple Jump,Single
Weightlifting Women's Lightweight,Single
Athletics Women's Long Jump,Single
"Fencing Women's epee, Individual",Single
Swimming Men's 200 metres Freestyle,Single
Swimming Men's 4 x 100 metres Freestyle Relay,Team
Swimming Men's 200 metres Backstroke,Single
Swimming Men's 200 metres Individual Medley,Single
Swimming Men's 400 metres Individual Medley,Single
Badminton Women's Singles,Single
Boxing Men's Light-Middleweight,Single
Tennis Men's Singles,Single
"Wrestling Men's Bantamweight, Freestyle",Team
"Wrestling Men's Flyweight, Freestyle",Team
"Athletics Women's 5,000 metres",Single
Weightlifting Women's Light-Heavyweight,Single
Weightlifting Women's Heavyweight,Single
Athletics Men's Discus Throw,Single
Taekwondo Men's Featherweight,Single
Taekwondo Men's Welterweight,Single
Judo Men's Heavyweight,Single
Cycling Men's Sprint,Single
Bobsleigh Men's Two,Team
"Wrestling Men's Lightweight, Freestyle",Team
Nordic Combined Men's Team,Team
Nordic Combined Men's Individual,Single
Baseball Men's Baseball,Team
Rowing Men's Coxed Fours,Team
Cycling Men's 100 kilometres Team Time Trial,Team
Rhythmic Gymnastics Women's Group,Single
"Art Competitions Mixed Architecture, Designs For Town Planning",Single
"Art Competitions Mixed Architecture, Architectural Designs",Single
Gymnastics Women's Individual All-Around,Single
Gymnastics Women's Team All-Around,Team
Gymnastics Women's Floor Exercise,Single
Gymnastics Women's Horse Vault,Single
Gymnastics Women's Uneven Bars,Single
Gymnastics Women's Balance Beam,Single
Diving Women's Springboard,Single
Diving Women's Synchronized Springboard,Team
"Athletics Women's 10,000 metres",Single
Sailing Mixed 7 metres,Single
Judo Women's Half-Middleweight,Single
Athletics Men's Decathlon,Single
Biathlon Men's 10 kilometres Sprint,Single
Biathlon Men's 20 kilometres,Single
Biathlon Men's 4 x 7.5 kilometres Relay,Team
Freestyle Skiing Men's Moguls,Single
"Wrestling Men's Middleweight A, Greco-Roman",Team
Athletics Women's Discus Throw,Single
Swimming Women's 4 x 100 metres Freestyle Relay,Team
"Athletics Women's 1,500 metres",Single
"Shooting Women's Air Pistol, 10 metres",Single
"Shooting Women's Sporting Pistol, 25 metres",Single
"Canoeing Men's Kayak Doubles, 500 metres",Team
"Canoeing Men's Kayak Singles, 500 metres",Single
"Canoeing Men's Kayak Singles, 1,000 metres",Single
"Shooting Men's Running Target, 50 metres",Single
Judo Women's Half-Heavyweight,Single
Athletics Women's Pole Vault,Single
Rugby Sevens Women's Rugby Sevens,Team
Table Tennis Men's Team,Team
Figure Skating Mixed Pairs,Team
Freestyle Skiing Men's Aerials,Single
Rowing Women's Coxed Eights,Team
Athletics Women's 4 x 400 metres Relay,Team
Alpine Skiing Women's Giant Slalom,Single
Alpine Skiing Women's Super G,Single
Cross Country Skiing Women's 5 kilometres,Single
Cross Country Skiing Women's 10 kilometres,Single
Cross Country Skiing Women's 20 kilometres,Single
"Cycling Men's 1,000 metres Time Trial",Single
"Cycling Men's Individual Pursuit, 4,000 metres",Single
"Wrestling Men's Welterweight, Freestyle",Team
"Wrestling Men's Bantamweight, Greco-Roman",Team
Rowing Women's Lightweight Double Sculls,Team
Athletics Women's 800 metres,Single
Rowing Women's Coxed Quadruple Sculls,Team
Biathlon Men's 12.5 kilometres Pursuit,Single
Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,Team
Rhythmic Gymnastics Women's Individual,Single
"Canoeing Men's Kayak Singles, Slalom",Single
Archery Men's Individual,Single
Archery Men's Team,Team
"Speed Skating Women's 1,500 metres",Single
Speed Skating Women's Team Pursuit (6 laps),Team
Cross Country Skiing Men's Sprint,Single
Athletics Women's 400 metres,Single
Figure Skating Women's Singles,Single
"Speed Skating Men's 1,000 metres",Single
Trampolining Men's Individual,Single
Beach Volleyball Men's Beach Volleyball,Team
"Cycling Women's Mountainbike, Cross-Country",Single
"Athletics Men's Javelin Throw, Both Hands",Single
Triathlon Women's Olympic Distance,Single
Gymnastics Women's Team Portable Apparatus,Team
"Cycling Men's Mountainbike, Cross-Country",Single
Athletics Women's 400 metres Hurdles,Single
Diving Men's Springboard,Single
"Wrestling Men's Featherweight, Greco-Roman",Single
Table Tennis Men's Singles,Single
Art Competitions Mixed Painting,Single
