Event,Type
"Art Competitions Mixed Literature, Dramatic Works",Single
Jeu De Paume Men's Singles,Single
Sailing Mixed 10-20 Ton,Single
Cycling Men's 1/3 mile,Single
Cycling Men's 1 mile,Single
Cycling Men's 2 mile,Single
"Art Competitions Mixed Sculpturing, Medals And Plaques",Single
"Athletics Men's 1,600 metres Medley Relay",Team
"Croquet Mixed Singles, Two Balls",Single
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Team
Athletics Men's 60 metres,Single
Snowboarding Women's Parallel Giant Slalom,Single
Sailing Mixed 2-3 Ton,Single
Speed Skating Men's Allround,Single
"Shooting Men's Military Rifle, Prone, 600 metres",Single
"Canoeing Men's Canadian Doubles, 10,000 metres",Team
Snowboarding Women's Parallel Slalom,Single
"Shooting Men's Dueling Pistol, 30 metres, Team",Team
"Gymnastics Men's Parallel Bars, Teams",Team
"Gymnastics Men's Horizontal Bar, Teams",Team
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Team
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Single
"Athletics Men's 1,500 metres Walk",Single
"Athletics Men's 3 mile, Team",Team
"Art Competitions Mixed Sculpturing, Medals",Single
"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Single
"Equestrianism Men's Vaulting, Team",Team
"Shooting Men's Free Rifle, Any Position, 300 metres",Single
"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Single
Swimming Men's 100 Yard Backstroke,Single
Swimming Men's 440 Yard Breaststroke,Single
"Art Competitions Mixed Literature, Epic Works",Single
Art Competitions Mixed Architecture,Single
"Athletics Men's 3,500 metres Walk",Single
Roque Men's Singles,Single
Gymnastics Men's Side Horse,Single
Alpinism Mixed Alpinism,Single
Archery Men's Double American Round,Single
Archery Men's Team Round,Team
"Archery Men's Target Archery, 33 metres, Individual",Single
"Archery Men's Target Archery, 50 metres, Individual",Single
"Swimming Men's 1,000 metres Freestyle",Single
Athletics Men's 10 mile Walk,Single
"Athletics Men's Discus Throw, Both Hands",Single
Golf Men's Team,Team
Sailing Mixed 0-0.5 Ton,Single
Sailing Mixed 20+ Ton,Single
Cycling Women's Team Sprint,Team
"Weightlifting Men's Unlimited, Two Hands",Single
"Shooting Men's Free Pistol, 25 metres",Single
"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Single
"Shooting Men's Military Revolver, 20 metres",Single
Shooting Men's Dueling Pistol Au Vise 20 metres,Single
"Shooting Men's Dueling Pistol Au Commandement, 25 metres",Single
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Team
Sailing Mixed 6.5 metres,Single
Athletics Men's 200 metres Hurdles,Single
Athletics Men's 56-pound Weight Throw,Single
Equestrianism Mixed Four-In-Hand Competition,Single
"Athletics Men's 2,500 metres Steeplechase",Single
"Art Competitions Mixed Music, Unknown Event",Single
Athletics Men's All-Around Championship,Single
"Archery Men's Pole Archery, Small Birds, Individual",Single
"Archery Men's Pole Archery, Large Birds, Individual",Single
"Archery Men's Pole Archery, Small Birds, Team",Team
"Archery Men's Pole Archery, Large Birds, Team",Team
"Athletics Men's 2,590 metres Steeplechase",Single
Archery Women's Double Columbia Round,Single
"Athletics Men's 4 mile, Team",Team
Figure Skating Men's Special Figures,Single
"Shooting Men's Military Rifle, Standing, 300 metres",Single
Swimming Men's 50 yard Freestyle,Single
Swimming Men's 100 yard Freestyle,Single
Swimming Men's 440 yard Freestyle,Single
Basque Pelota Men's Two-Man Teams With Cesta,Team
"Shooting Men's Trap, Single Shot, 16 metres",Single
"Shooting Men's Trap, Double Shot, 14 metres",Single
Equestrianism Mixed Long Jump,Single
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Single
"Shooting Men's Free Pistol, 30 metres",Single
"Shooting Men's Military Pistol, 25 metres",Single
Swimming Men's 100 metres Freestyle For Sailors,Single
Archery Men's Sur La Perche a La Herse,Single
Sailing Mixed 3-10 Ton,Single
"Gymnastics Men's Individual All-Around, 4 Events",Single
"Wrestling Men's Unlimited Class, Greco-Roman",Team
Motorboating Mixed B-Class (Under 60 Feet),Single
Motorboating Mixed C-Class,Single
"Cycling Men's 10,000 metres",Single
"Art Competitions Mixed Sculpturing, Reliefs",Single
"Shooting Men's Muzzle-Loading Pistol, 25 metres",Single
Equestrianism Mixed High Jump,Single
Archery Men's Sur La Perche a La Pyramide,Single
"Fencing Men's Single Sticks, Individual",Single
Gymnastics Men's Tumbling,Single
Shooting Men's Unknown Event,Single
Sailing Mixed 18 foot,Single
Archery Men's Unknown Event,Single
"Archery Men's Au Chapelet, 50 metres",Single
Archery Men's Championnat Du Monde,Single
Archery Women's Team Round,Team
"Wrestling Men's All-Around, Greco-Roman",Team
Cycling Men's 12-Hours Race,Single
Swimming Men's 500 metres Freestyle,Single
Weightlifting Men's All-Around Dumbbell Contest,Single
"Archery Men's Au Chapelet, 33 metres",Single
"Archery Men's Au Cordon Dore, 33 metres",Single
"Archery Men's Target Archery, 28 metres, Individual",Single
Aeronautics Mixed Aeronautics,Single
